player,position,fantasy_points,salary,defensive_risk,team_points,team
Joe Flacco,QB,16.97,7800,27,20,BAL
Justin Forsett,RB,12.10,6800,27,20,BAL
Steve Smith,WR,11.88,6600,27,20,BAL
Torrey Smith,WR,11.23,7000,27,20,BAL
Owen Daniels,TE,6.22,5100,27,20,BAL
Jerricho Cotchery,WR,4.64,5100,30,20,BAL
Kamar Aiken,WR,3.87,4800,27,20,BAL
Bernard Pierce,RB,2.72,4800,27,20,BAL
Cam Newton,QB,16.20,7700,30,14,CAR
Greg Olsen,TE,10.76,6200,30,14,CAR
Kelvin Benjamin,WR,10.32,6400,30,14,CAR
Jonathan Stewart,RB,9.48,6500,30,14,CAR
Philly Brown,WR,4.60,5000,30,14,CAR
DeAngelo Williams,RB,3.52,4700,30,14,CAR
DeMarco Murray,RB,19.50,8900,18,23,DAL
Tony Romo,QB,18.90,8600,18,23,DAL
Dez Bryant,WR,16.53,9000,18,23,DAL
Jason Witten,TE,9.53,5500,18,23,DAL
Terrance Williams,WR,7.45,5800,18,23,DAL
Cole Beasley,WR,5.13,5300,18,23,DAL
Peyton Manning,QB,19.86,9100,17,30,DEN
Demaryius Thomas,WR,17.31,9100,17,30,DEN
Emmanuel Sanders,WR,15.65,8500,17,30,DEN
C.J. Anderson,RB,14.01,8700,17,30,DEN
Julian Edelman,WR,13.92,7300,28,30,DEN
Ronnie Hillman,RB,8.22,5700,17,30,DEN
Julius Thomas,TE,7.88,5500,17,30,DEN
Aaron Rodgers,QB,22.17,9700,10,28.5,GB
Jordy Nelson,WR,17.69,9000,10,28.5,GB
Randall Cobb,WR,15.60,8600,10,28.5,GB
Eddie Lacy,RB,15.47,8400,10,28.5,GB
Davante Adams,WR,5.24,5100,10,28.5,GB
James Starks,RB,3.83,4500,10,28.5,GB
Andrew Quarless,TE,3.69,4500,10,28.5,GB
Richard Rodgers,TE,3.14,4600,10,28.5,GB
Andrew Luck,QB,22.02,9600,22,23,IND
Ty Hilton,WR,14.40,8400,22,23,IND
Dan Herron,RB,8.91,6100,22,23,IND
Coby Fleener,TE,8.10,5400,22,23,IND
Dwayne Allen,TE,7.69,5000,22,23,IND
Reggie Wayne,WR,6.11,5300,22,23,IND
Hakeem Nicks,WR,4.81,5400,22,23,IND
Trent Richardson,RB,4.49,4500,22,23,IND
Donte Moncrief,WR,4.36,5500,22,23,IND
Tom Brady,QB,19.14,9100,28,27,NE
Rob Gronkowski,TE,14.34,7900,28,27,NE
Shane Vereen,RB,7.92,5200,28,27,NE
LeGarrette Blount,RB,7.54,5700,28,27,NE
Wes Welker,WR,5.42,5200,17,27,NE
Jonas Gray,RB,4.37,5300,28,27,NE
Danny Amendola,WR,2.71,5000,28,27,NE
Brandon LaFell,WR,9.91,6800,28,27,NE
Russell Wilson,QB,18.50,8200,23,24.5,SEA
Marshawn Lynch,RB,16.96,8900,23,24.5,SEA
Doug Baldwin,WR,9.60,5900,23,24.5,SEA
Jermaine Kearse,WR,5.15,5000,23,24.5,SEA
Paul Richardson,WR,4.68,5100,23,24.5,SEA
Luke Willson,TE,4.60,4600,23,24.5,SEA
Robert Turbin,RB,3.82,4500,23,24.5,SEA
Tony Moeaki,TE,2.90,4700,23,24.5,SEA
